"","SubID","trial_num","pUP","stock_outcome","Advisor","Advice","AdvisorCorrect","choice","outcome","rt","tally"
"1636",33,16,0.715225619655798,1,1,-1,0,0,-1,2110,32
"1637",33,17,0.740927825081685,-1,3,1,0,0,1,2002,33
"1638",33,18,0.692551246858283,1,2,1,1,1,1,2021,34
"1639",33,19,0.738619505737299,1,3,-1,0,0,-1,2038,33
"1640",33,20,0.823747377841436,1,2,1,1,1,1,3072,34
"1641",33,21,0.869796615770768,1,1,1,1,1,1,2406,35
"1642",33,22,0.809794957981288,1,2,1,1,1,1,2148,36
"1643",33,23,0.845671041319448,1,3,-1,0,1,1,3096,37
"1644",33,24,0.838850830640989,-1,2,-1,1,1,-1,2899,36
"1645",33,25,0.803171013939873,1,1,1,1,1,1,1919,37
"1646",33,26,0.881289450772898,1,3,-1,0,1,1,2601,38
"1647",33,27,0.755703124692595,1,1,1,1,1,1,2039,39
"1648",33,28,0.801172971020543,-1,3,1,0,0,1,1767,40
"1649",33,29,0.794647118953867,1,2,1,1,1,1,2729,41
"1650",33,30,0.698087476054508,1,3,1,1,0,-1,1773,40
"1651",33,31,0.535942232153974,1,1,-1,0,0,-1,1787,39
"1652",33,32,0.528209377400113,-1,2,1,0,1,-1,2933,38
"1653",33,33,0.406025749012885,-1,1,-1,1,0,1,2913,39
"1654",33,34,0.418407514136272,1,2,-1,0,0,-1,1793,38
"1655",33,35,0.454854337682129,-1,3,-1,1,1,-1,2078,37
"1656",33,36,0.449498270886265,1,2,-1,0,0,-1,1855,36
"1657",33,37,0.49871634764447,1,1,1,1,1,1,2426,37
"1658",33,38,0.447969361508022,-1,3,1,0,0,1,1869,38
"1659",33,39,0.402813099985069,1,1,1,1,1,1,1811,39
"1660",33,40,0.35214063004452,1,3,-1,0,0,-1,2036,38
"1661",33,41,0.312809120862921,1,2,-1,0,0,-1,2012,37
"1662",33,42,0.355330688324406,-1,3,1,0,0,1,1800,38
"1663",33,43,0.377389334162708,-1,1,-1,1,0,1,1660,39
